Model name | Begin time | End time | N , E , S , W bounds
NLDASF|01/01/1979 13:00:00|02/26/2021 12:00:00|53.0, -67.0, 25.0, -125.0
NLDAS|01/02/1979 01:00:00|02/26/2021 00:00:00|53.0, -67.0, 25.0, -125.0
GLDAS21|01/01/2000 03:00:00|10/31/2020 21:00:00|90.0, 180.0, -60.0, -180.0
GLDAS20|01/01/1948 03:00:00|12/31/2014 21:00:00|90.0, 180.0, -60.0, -180.0
SMERGE|01/02/1979 00:00:00|05/10/2019 23:59:59|53.0, -67.0, 25.0, -125.0
GRACE|04/01/2002 00:00:00|03/03/2019 23:59:59|53.0, -67.0, 25.0, -125.0
AMSRED|06/19/2002 00:29:47|10/03/2011 21:49:11|90.0, 180.0, -90.0, -180.0
AMSREDRZSM|06/20/2002 00:00:00|12/31/2010 23:59:59|60.0, 180.0, -60.0, -180.0
AMSREA|06/19/2002 01:19:10|10/03/2011 20:59:52|90.0, 180.0, -90.0, -180.0
AMSR2D10|07/03/2012 00:57:31|02/28/2021 00:46:18|90.0, 180.0, -90.0, -180.0
AMSR2A10|07/03/2012 00:08:00|02/27/2021 23:56:54|90.0, 180.0, -90.0, -180.0
AMSR2D25|07/03/2012 00:57:31|02/28/2021 00:46:18|90.0, 180.0, -90.0, -180.0
AMSR2A25|07/03/2012 00:57:31|02/28/2021 00:46:18|90.0, 180.0, -90.0, -180.0
TMIDY|12/07/1997 23:57:18|04/08/2015 15:25:03|40.0, 180.0, -40.0, -180.0
TMINT|12/07/1997 23:57:18|04/08/2015 15:25:03|40.0, 180.0, -40.0, -180.0
TRMM|12/31/1997 22:30:00|12/31/2019 22:29:59|50.0, 180.0, -50.0, -180.0
MERRA|01/01/1980 00:00:00|02/29/2016 23:59:59|90.0, 180.0, -90.0, -180.0
MERRA2FD|01/01/1980 00:00:00|01/31/2021 23:59:59|90.0, 180.0, -90.0, -180.0
MERRA2F|01/01/1980 00:00:00|01/31/2021 23:59:59|90.0, 180.0, -90.0, -180.0
MERRA2FI|01/01/1980 00:00:00|01/31/2021 23:00:00|90.0, 180.0, -90.0, -180.0
